idAlumno;idAsignatura;nota
AL088;AS033;1.23
AL088;AS034;6.87
AL088;AS035;9.88
AL088;AS061;4.39
AL088;AS064;6.87
AL088;AS078;2.02
AL088;AS048;6.36
AL088;AS067;2.64
AL089;AS031;10
AL089;AS032;7.42
AL089;AS033;9.22
AL089;AS034;9.13
AL089;AS035;9.06
AL089;AS083;3.17
AL089;AS083;5.54
AL089;AS039;7.02
AL089;AS039;8.31
AL089;AS076;7.06
AL094;AS031;4.39
AL094;AS032;2.29
AL094;AS033;3.95
AL094;AS034;3.81
AL094;AS035;7.45
AL094;AS069;10
AL094;AS040;6.52
AL094;AS059;2.41
AL094;AS061;6.23
AL094;AS080;8.63
AL107;AS031;10
AL107;AS032;6.42
AL107;AS033;10
AL107;AS034;1.27
AL107;AS035;5.47
AL107;AS051;5.13
AL107;AS076;3.16
AL107;AS067;10
AL107;AS057;3.79
AL107;AS058;10
AL114;AS031;9.19
AL114;AS032;5.54
AL114;AS033;1.81
AL114;AS034;4.24
AL114;AS035;3.61
AL114;AS066;4.88
AL114;AS065;8.47
AL114;AS042;2.46
AL114;AS062;4.65
AL114;AS037;4.96
AL115;AS031;8.22
AL115;AS032;4.57
AL115;AS033;9.92
AL115;AS034;2.17
AL115;AS035;10
AL115;AS042;3.69
AL115;AS065;9.09
AL115;AS074;5.13
AL115;AS080;6.54
AL115;AS039;3.61
AL117;AS031;4.98
AL117;AS032;1.39
AL117;AS033;8.32
AL117;AS034;1.95
AL117;AS035;1.14
AL117;AS044;4.07
AL117;AS041;5.23
AL117;AS075;9.85
AL117;AS077;1.24
AL117;AS065;9.21
AL121;AS031;1.48
AL121;AS032;6.07
AL121;AS033;8.86
AL121;AS034;2.62
AL121;AS035;10
AL121;AS045;8.27
AL121;AS071;7.11
AL121;AS061;8.64
AL121;AS041;5.82
AL121;AS075;2.25
AL128;AS031;10
AL128;AS032;3.42
AL128;AS033;7.31
AL128;AS034;2.34
AL128;AS035;7.14
AL128;AS039;4.82
AL128;AS074;3.91
AL128;AS078;5.64
AL128;AS048;5.13
AL128;AS077;2.44
AL136;AS031;10
AL136;AS032;9.63
AL136;AS033;7.54
AL136;AS034;4.33
AL136;AS035;8.34
AL136;AS059;4.19
AL136;AS051;6.17
AL136;AS045;9.35
AL136;AS081;7.92
AL136;AS057;4.59
AL141;AS031;9.93
AL141;AS032;2.69
AL141;AS033;5.39
AL141;AS034;4.34
AL141;AS035;1.23
AL141;AS065;7.54
AL141;AS051;9.49
AL141;AS068;10
AL141;AS042;5.85
AL141;AS048;4.12
AL156;AS031;3.74
AL156;AS032;10
AL156;AS033;5.03
AL156;AS034;9.78
AL156;AS035;4.72
AL156;AS042;4.75
AL156;AS065;9.21
AL156;AS039;5.82
AL156;AS078;5.66
AL156;AS053;1.05
AL163;AS031;3.65
AL163;AS032;3.87
AL163;AS033;8.65
AL163;AS034;2.63
AL163;AS035;1.41
AL163;AS048;9.49
AL163;AS071;8.22
AL163;AS047;3.39
AL163;AS066;1.59
AL163;AS064;7.25
AL168;AS031;7.27
AL168;AS032;10
AL168;AS033;9.34
AL168;AS034;10
AL168;AS035;4.62
AL168;AS044;3.11
AL168;AS039;8.75
AL168;AS083;10
AL168;AS044;4.99
AL168;AS076;7.87
AL171;AS031;1.96
AL171;AS032;2.68
AL171;AS033;2.72
AL171;AS034;6.07
AL171;AS035;8.69
AL171;AS078;5.24
AL171;AS059;10
AL171;AS061;10
AL171;AS037;2.91
AL171;AS062;9.35
AL172;AS031;9.46
AL172;AS032;3.88
AL172;AS033;9.47
AL172;AS034;10
AL172;AS035;1.91
AL172;AS062;1.88
AL172;AS046;2.27
AL172;AS066;2.86
AL172;AS081;9.07
AL172;AS058;7.32
AL179;AS031;2.37
AL179;AS032;1.22
AL179;AS033;4.85
AL179;AS034;2.85
AL179;AS035;3.39
AL179;AS067;5.33
AL179;AS046;4.01
AL179;AS045;6.64
AL179;AS042;8.58
AL179;AS042;6.85
AL183;AS031;3.84
AL183;AS032;1.07
AL183;AS033;1.22
AL183;AS034;4.87
AL183;AS035;8.87
AL183;AS074;4.11
AL183;AS074;10
AL183;AS071;7.35
AL183;AS042;1.91
AL183;AS047;4.55
AL190;AS031;7.35
AL190;AS032;1.85
AL190;AS033;4.62
AL190;AS034;1.75
AL190;AS035;9.06
AL190;AS068;10
AL190;AS046;7.52
AL190;AS081;7.08
AL190;AS037;9.73
AL190;AS062;4.43
AL001;AS084;2.54
AL001;AS085;7.37
AL001;AS086;10
AL001;AS087;4.96
AL001;AS088;5.96
AL001;AS089;5.85
AL001;AS090;4.15
AL001;AS091;8.77
AL001;AS092;4.15
AL001;AS093;10
AL006;AS084;10
AL006;AS085;10
AL006;AS086;2.65
AL006;AS087;7.51
AL006;AS088;2.37
AL006;AS089;10
AL006;AS090;4.42
AL006;AS091;8.61
AL006;AS092;6.96
AL006;AS093;10
AL015;AS084;2.09
AL015;AS085;9.78
AL015;AS086;1.87
AL015;AS087;7.72
AL015;AS088;6.52
AL015;AS089;6.71
AL015;AS090;6.17
AL015;AS091;8.43
AL015;AS092;5.67
AL015;AS093;9.81
AL023;AS084;3.56
AL023;AS085;6.19
AL023;AS086;2.86
AL023;AS087;6.81
AL023;AS088;9.98
AL023;AS089;1.54
AL023;AS090;6.43
AL023;AS091;6.27
AL023;AS092;6.01
AL023;AS093;1.06
AL024;AS084;6.81
AL024;AS085;7.59
AL024;AS086;1.12
AL024;AS087;5.08
AL024;AS088;9.31
AL024;AS089;3.11
AL024;AS090;2.69
AL024;AS091;5.81
AL024;AS092;3.67
AL024;AS093;5.23
AL035;AS084;1.94
AL035;AS085;6.64
AL035;AS086;5.37
AL035;AS087;4.96
AL035;AS088;6.95
AL035;AS089;6.91
AL035;AS090;1.41
AL035;AS091;5.42
AL035;AS092;3.35
AL035;AS093;1.46
AL037;AS084;10
AL037;AS085;1.81
AL037;AS086;7.91
AL037;AS087;2.56
AL037;AS088;2.88
AL037;AS089;3.58
AL037;AS090;4.38
AL037;AS091;4.05
AL037;AS092;5.43
AL037;AS093;5.16
AL040;AS084;8.68
AL040;AS085;6.38
AL040;AS086;10
AL040;AS087;9.23
AL040;AS088;3.63
AL040;AS089;3.75
AL040;AS090;8.03
AL040;AS091;7.01
AL040;AS092;8.99
AL040;AS093;9.55
AL063;AS084;5.47
AL063;AS085;4.97
AL063;AS086;7.36
AL063;AS087;8.06
AL063;AS088;4.22
AL063;AS089;1.94
AL063;AS090;3.57
AL063;AS091;1.56
AL063;AS092;10
AL063;AS093;9.33
AL075;AS084;1.64
AL075;AS085;8.84
AL075;AS086;2.21
AL075;AS087;5.73
AL075;AS088;5.73
AL075;AS089;7.97
AL075;AS090;7.86
AL075;AS091;1.11
AL075;AS092;9.31
AL075;AS093;9.33
AL084;AS084;2.97
AL084;AS085;4.36
AL084;AS086;1.45
AL084;AS087;10
AL084;AS088;1.99
AL084;AS089;4.71
AL084;AS090;6.37
AL084;AS091;2.41
AL084;AS092;5.75
AL084;AS093;5.13
AL091;AS084;1.72
AL091;AS085;6.21
AL091;AS086;10
AL091;AS087;5.62
AL091;AS088;10
AL091;AS089;3.43
AL091;AS090;2.76
AL091;AS091;9.99
AL091;AS092;7.12
AL091;AS093;5.22
AL093;AS084;5.93
AL093;AS085;5.09
AL093;AS086;7.09
AL093;AS087;8.96
AL093;AS088;9.48
AL093;AS089;10
AL093;AS090;9.42
AL093;AS091;5.67
AL093;AS092;4.99
AL093;AS093;4.71
AL109;AS084;10
AL109;AS085;1.62
AL109;AS086;6.61
AL109;AS087;5.41
AL109;AS088;2.51
AL109;AS089;10
AL109;AS090;4.32
AL109;AS091;8.47
AL109;AS092;10
AL109;AS093;3.78
AL116;AS084;2.93
AL116;AS085;5.66
AL116;AS086;2.97
AL116;AS087;2.59
AL116;AS088;4.24
AL116;AS089;2.67
AL116;AS090;1.42
AL116;AS091;6.65
AL116;AS092;9.42
AL116;AS093;9.61
AL120;AS084;8.31
AL120;AS085;1.94
AL120;AS086;4.57
AL120;AS087;9.83
AL120;AS088;1.09
AL120;AS089;5.89
AL120;AS090;10
AL120;AS091;9.79
AL120;AS092;6.34
AL120;AS093;9.05
AL129;AS084;2.14
AL129;AS085;1.04
AL129;AS086;7.04
AL129;AS087;9.71
AL129;AS088;3.33
AL129;AS089;4.02
AL129;AS090;9.71
AL129;AS091;7.89
AL129;AS092;8.35
AL129;AS093;3.53
AL130;AS084;6.78
AL130;AS085;8.36
AL130;AS086;3.34
AL130;AS087;4.25
AL130;AS088;8.54
AL130;AS089;7.63
AL130;AS090;1.34
AL130;AS091;9.34
AL130;AS092;6.06
AL130;AS093;1.74
AL133;AS084;6.55
AL133;AS085;6.17
AL133;AS086;6.63
AL133;AS087;10
AL133;AS088;7.37
AL133;AS089;1.51
AL133;AS090;6.43
AL133;AS091;8.64
AL133;AS092;7.18
AL133;AS093;3.63
AL137;AS084;9.47
AL137;AS085;5.62
AL137;AS086;8.75
AL137;AS087;5.92
AL137;AS088;7.96
AL137;AS089;3.69
AL137;AS090;5.37
AL137;AS091;4.19
AL137;AS092;1.95
AL137;AS093;7.42
AL140;AS084;10
AL140;AS085;8.45
AL140;AS086;4.26
AL140;AS087;7.45
AL140;AS088;9.98
AL140;AS089;6.22
AL140;AS090;3.34
AL140;AS091;10
AL140;AS092;10
AL140;AS093;1.15
AL144;AS084;7.58
AL144;AS085;10
AL144;AS086;1.79
AL144;AS087;7.25
AL144;AS088;1.57
AL144;AS089;10
AL144;AS090;1.12
AL144;AS091;1.81
AL144;AS092;4.26
AL144;AS093;3.27
AL148;AS084;3.76
AL148;AS085;5.94
AL148;AS086;3.16
AL148;AS087;8.46
AL148;AS088;1.19
AL148;AS089;6.96
AL148;AS090;7.79
AL148;AS091;7.85
AL148;AS092;5.85
AL148;AS093;8.07
AL151;AS084;2.32
AL151;AS085;5.45
AL151;AS086;4.66
AL151;AS087;3.96
AL151;AS088;4.02
AL151;AS089;9.98
AL151;AS090;1.27
AL151;AS091;10
AL151;AS092;2.06
AL151;AS093;4.33
AL159;AS084;9.56
AL159;AS085;7.59
AL159;AS086;8.41
AL159;AS087;1.33
AL159;AS088;4.84
AL159;AS089;2.63
AL159;AS090;7.38
AL159;AS091;8.54
AL159;AS092;2.76
AL159;AS093;3.13
AL164;AS084;7.67
AL164;AS085;1.36
AL164;AS086;6.13
AL164;AS087;4.72
AL164;AS088;2.34
AL164;AS089;3.55
AL164;AS090;1.81
AL164;AS091;6.44
AL164;AS092;4.72
AL164;AS093;1.33
AL169;AS084;7.24
AL169;AS085;5.15
AL169;AS086;4.35
AL169;AS087;7.27
AL169;AS088;6.59
AL169;AS089;10
AL169;AS090;6.67
AL169;AS091;2.88
AL169;AS092;9.06
AL169;AS093;8.69
AL176;AS084;6.15
AL176;AS085;1.16
AL176;AS086;9.08
AL176;AS087;9.83
AL176;AS088;2.74
AL176;AS089;6.64
AL176;AS090;8.75
AL176;AS091;8.85
AL176;AS092;3.38
AL176;AS093;3.96
AL182;AS084;2.47
AL182;AS085;10
AL182;AS086;9.19
AL182;AS087;2.31
AL182;AS088;5.28
AL182;AS089;3.91
AL182;AS090;8.95
AL182;AS091;5.07
AL182;AS092;2.11
AL182;AS093;5.66
AL184;AS084;8.85
AL184;AS085;4.53
AL184;AS086;7.65
AL184;AS087;7.75
AL184;AS088;5.64
AL184;AS089;10
AL184;AS090;3.29
AL184;AS091;5.55
AL184;AS092;4.05
AL184;AS093;6.97
AL188;AS084;7.66
AL188;AS085;6.11
AL188;AS086;2.64
AL188;AS087;3.22
AL188;AS088;6.73
AL188;AS089;5.29
AL188;AS090;3.35
AL188;AS091;1.26
AL188;AS092;6.55
AL188;AS093;6.27
AL195;AS084;10
AL195;AS085;7.21
AL195;AS086;9.58
AL195;AS087;5.48
AL195;AS088;2.89
AL195;AS089;4.94
AL195;AS090;7.56
AL195;AS091;3.32
AL195;AS092;5.47
AL195;AS093;7.05
AL199;AS084;2.04
AL199;AS085;3.13
AL199;AS086;9.01
AL199;AS087;7.87
AL199;AS088;4.52
AL199;AS089;8.35
AL199;AS090;9.12
AL199;AS091;7.32
AL199;AS092;7.71
AL199;AS093;3.42
AL009;AS100;2.85
AL020;AS099;3.18
AL026;AS100;8.07
AL029;AS097;9.45
AL032;AS097;5.86
AL038;AS100;7.88
AL048;AS099;2.15
AL053;AS097;6.77
AL056;AS097;5.94
AL057;AS099;10
AL061;AS095;7.56
AL062;AS095;6.24
AL066;AS097;7.91
AL070;AS099;1.48
AL082;AS100;2.94
AL085;AS099;3.47
AL097;AS100;1.74
AL111;AS097;10
AL125;AS095;10
AL126;AS097;2.96
AL135;AS099;2.44
AL143;AS099;7.78
AL158;AS100;3.51
AL173;AS095;6.71
AL174;AS095;10
AL178;AS099;1.17
AL181;AS095;3.01
AL191;AS095;7.55
AL198;AS100;4.45
